Prs_ds_disc,Prs_ds_disc_t1,Prs_us_disc,Prs_us_disc_t1,MinTemp_disc,MinTemp_disc_t,MaxTemp_disc,MaxTemp_disc_t1,Avg_Temp_disc,Avg_Temp_disc_t1,Temp_range_disc,Temp_range_disc_t,Rain_disc,Rain_disc_t,meterleak_count,meterleak_count_t
1,2,0,2,0,0,0,0,0,0,0,0,2,2,0,1
2,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0
2,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0
1,2,0,1,0,0,0,0,1,0,2,2,0,0,0,0
2,1,0,0,1,0,1,0,1,1,1,2,0,0,0,0
2,2,0,0,1,1,2,1,1,1,2,1,0,0,0,0
2,2,0,0,2,1,2,2,2,1,2,2,0,0,0,0
1,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0
2,1,1,0,1,2,0,2,1,2,0,2,2,0,0,0
1,2,2,1,0,1,0,0,0,1,0,0,2,2,0,0
1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0
1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,1,0,1,1,0,0,1,1,0,1,2,0,0,0
1,1,2,1,0,1,0,0,0,1,0,0,2,2,0,0
2,1,2,2,0,0,0,0,0,0,0,0,1,2,0,0
2,2,1,2,0,0,1,0,1,0,2,0,2,1,0,0
1,2,0,1,1,0,0,1,1,1,0,2,2,2,0,0
1,1,1,0,0,1,0,0,0,1,0,0,1,2,0,0
2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
2,2,1,1,0,0,1,0,0,0,2,1,0,0,1,0
1,2,1,1,1,0,2,1,1,0,2,2,0,0,0,1
2,1,1,1,1,1,2,2,1,1,2,2,0,0,1,1
2,2,0,1,1,1,2,2,1,1,2,2,0,0,1,1
1,2,1,0,0,1,1,2,1,1,1,2,0,0,1,0
2,1,1,1,2,0,1,1,2,1,1,1,0,0,0,0
1,2,0,1,1,2,1,1,2,2,1,1,0,0,0,0
1,1,0,0,2,1,2,1,2,2,2,1,1,0,0,0
1,1,1,0,0,2,0,2,0,2,0,2,2,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
2,1,1,1,1,0,2,0,1,1,2,1,0,0,0,0
1,2,1,1,2,1,1,2,1,1,0,2,2,0,0,0
1,1,2,1,0,2,0,1,1,1,0,0,1,2,0,0
1,1,1,2,0,0,0,0,1,1,0,0,1,1,0,0
2,1,2,1,0,0,0,0,1,1,1,0,0,1,0,0
2,2,2,2,0,0,0,0,1,1,2,1,0,0,0,1
2,2,2,2,0,0,1,0,1,1,2,2,0,0,1,1
2,2,2,2,1,0,1,1,2,1,1,2,0,0,1,2
2,2,2,2,1,1,1,1,2,2,1,1,0,0,2,0
2,2,2,2,2,1,2,1,2,2,1,1,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0
1,2,0,2,2,2,2,2,2,2,1,2,0,0,0,0
1,1,1,0,1,2,2,2,2,2,2,1,0,0,0,1
2,1,1,1,2,1,1,2,2,2,0,2,0,0,1,0
1,2,1,1,1,2,0,1,1,2,0,0,1,0,0,0
1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
1,1,0,1,2,1,2,0,2,1,2,0,1,0,0,0
2,1,2,0,1,2,0,2,1,2,0,2,1,1,0,0
2,2,1,2,1,1,0,0,1,1,0,0,0,1,0,1
0,2,0,1,1,1,0,0,0,1,1,0,0,0,1,1
2,0,2,0,2,1,2,0,2,0,2,1,0,0,1,0
2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
2,2,0,2,2,2,1,2,2,2,0,2,0,0,0,0
2,2,1,0,2,2,2,1,2,2,2,0,0,0,0,0
2,2,1,1,1,2,0,2,1,2,0,2,1,0,0,0
2,2,1,1,0,1,0,0,1,1,1,0,0,1,0,1
2,2,1,1,0,0,1,0,1,1,2,1,0,0,1,0
2,2,1,1,2,0,2,1,1,1,2,2,2,0,0,0
2,2,1,1,2,2,1,2,1,1,0,2,2,2,0,0
2,2,2,1,2,2,2,1,2,1,1,0,1,2,0,0
2,2,2,2,2,2,1,2,2,2,0,1,0,1,0,0
1,2,2,2,2,2,0,1,1,2,0,0,0,0,0,0
1,1,2,2,2,2,2,0,2,1,2,0,0,0,0,0
1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,1
1,1,2,2,2,2,1,2,1,2,0,2,1,1,1,0
1,1,2,2,1,2,1,1,1,1,0,0,2,1,0,0
1,1,2,2,1,1,0,1,0,1,0,0,2,2,0,0
1,1,2,2,1,1,1,0,1,0,1,0,0,2,0,1
1,1,2,2,0,1,2,1,1,1,2,1,0,0,1,0
1,1,2,2,2,0,1,2,2,1,0,2,0,0,0,0
1,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1
1,1,2,2,2,2,2,2,2,2,1,0,1,0,1,0
1,1,2,2,2,2,2,2,2,2,1,1,0,1,0,0
1,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0
1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0
1,1,2,2,2,2,2,2,2,2,1,2,2,1,0,0
1,1,2,2,2,2,0,2,1,2,0,1,1,2,0,1
1,1,2,2,2,2,1,0,2,1,0,0,0,1,1,1
1,1,2,2,2,2,2,1,2,2,1,0,1,0,1,1
1,1,2,2,2,2,1,2,1,2,0,1,0,1,1,1
1,1,2,2,2,2,2,1,2,1,1,0,0,0,1,0
1,1,2,2,2,2,2,2,2,2,2,1,0,0,0,1
1,1,2,2,2,2,2,2,2,2,0,2,0,0,1,0
1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0
1,1,2,2,1,2,0,2,1,2,0,2,2,0,0,1
1,1,2,2,1,1,1,0,1,1,1,0,0,2,1,0
1,1,2,2,2,1,2,1,2,1,1,1,2,0,0,0
1,1,2,2,2,2,2,2,2,2,0,1,0,2,0,0
1,1,2,2,2,2,2,2,2,2,1,0,0,0,0,2
1,1,2,2,2,2,1,2,2,2,0,1,2,0,2,0
1,1,2,2,1,2,0,1,1,2,0,0,1,2,0,0
1,1,2,2,1,1,1,0,2,1,1,0,1,1,0,1
1,1,2,2,2,1,1,1,2,2,0,1,1,1,1,0
1,1,2,2,2,2,1,1,1,2,0,0,0,1,0,0
1,1,2,2,1,2,1,1,2,1,1,0,0,0,0,0
1,1,2,2,1,1,2,1,2,2,1,1,0,0,0,0
1,1,2,2,2,1,1,2,2,2,0,1,0,0,0,0
1,1,2,2,2,2,2,1,2,2,2,0,0,0,0,0
0,1,2,2,2,2,2,2,2,2,0,2,0,0,0,0
1,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0
1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0
1,1,2,2,2,2,2,2,2,2,0,2,0,0,0,0
1,1,2,2,2,2,2,2,2,2,1,0,2,0,0,0
1,1,2,2,2,2,0,2,1,2,0,1,2,2,0,0
1,1,2,2,2,2,2,0,2,1,0,0,0,2,0,0
1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0
1,1,2,2,2,2,1,2,1,2,0,2,2,0,0,0
1,1,2,2,2,2,1,1,1,1,0,0,0,2,0,0
0,1,2,2,0,2,1,1,2,1,2,0,0,0,0,1
0,0,1,2,1,0,2,1,2,2,2,2,0,0,1,0
0,0,1,1,2,1,2,2,2,2,1,2,2,0,0,0
0,0,1,1,2,2,1,2,1,2,0,1,2,2,0,0
0,0,0,1,2,2,1,1,1,1,0,0,2,2,0,0
0,0,1,0,1,2,0,1,1,1,0,0,2,2,0,0
0,0,1,1,1,1,0,0,1,1,0,0,0,2,0,0
0,0,1,1,2,1,1,0,1,1,0,0,1,0,0,0
1,0,1,1,1,2,2,1,2,1,2,0,0,1,0,0
0,1,1,1,2,1,2,2,2,2,1,2,0,0,0,0
0,0,0,1,2,2,2,2,2,2,2,1,1,0,0,0
0,0,1,0,2,2,2,2,2,2,0,2,0,1,0,0
0,0,1,1,2,2,2,2,2,2,0,0,0,0,0,0
0,0,1,1,2,2,2,2,2,2,0,0,2,0,0,0
1,0,2,1,2,2,1,2,2,2,0,0,0,2,0,0
0,1,2,2,2,2,1,1,2,2,0,0,0,0,0,0
0,0,0,2,2,2,2,1,2,2,0,0,0,0,0,0
0,0,0,0,2,2,2,2,2,2,1,0,1,0,0,0
0,0,0,0,2,2,2,2,2,2,1,1,0,1,0,0
0,0,1,0,2,2,2,2,2,2,0,1,0,0,0,0
0,0,0,1,2,2,2,2,2,2,1,0,0,0,0,0
0,0,1,0,2,2,2,2,2,2,1,1,2,0,0,0
0,0,0,1,2,2,2,2,2,2,0,1,0,2,0,0
0,0,1,0,2,2,2,2,2,2,0,0,1,0,0,0
0,0,1,1,2,2,2,2,2,2,1,0,1,1,0,0
0,0,0,1,1,2,2,2,2,2,2,1,1,1,0,0
0,0,0,0,2,1,1,2,2,2,0,2,1,1,0,0
0,0,0,0,2,2,1,1,2,2,0,0,2,1,0,0
0,0,0,0,1,2,1,1,1,2,1,0,2,2,0,0
0,0,0,0,1,1,1,1,1,1,1,1,0,2,0,0
0,0,0,0,2,1,2,1,2,1,2,1,1,0,0,0
0,0,0,0,2,2,1,2,1,2,0,2,0,1,0,0
0,0,0,0,2,2,2,1,2,1,0,0,0,0,0,0
1,0,2,0,2,2,2,2,2,2,2,0,2,0,0,0
0,1,1,2,2,2,2,2,2,2,2,2,0,2,0,0
0,0,1,1,2,2,2,2,2,2,1,2,0,0,0,2
0,0,0,1,2,2,2,2,2,2,2,1,0,0,2,0
0,0,1,0,2,2,1,2,2,2,0,2,2,0,0,0
0,0,1,1,2,2,2,1,1,2,2,0,0,2,0,1
0,0,1,1,2,2,2,2,2,1,0,2,0,0,1,0
0,0,1,1,2,2,2,2,2,2,1,0,2,0,0,0
0,0,1,1,2,2,1,2,2,2,0,1,1,2,0,0
0,0,1,1,2,2,2,1,2,2,2,0,0,1,0,0
0,0,1,1,2,2,1,2,2,2,0,2,0,0,0,1
0,0,1,1,2,2,2,1,2,2,1,0,0,0,1,0
0,0,1,1,2,2,2,2,2,2,1,1,0,0,0,0
0,0,2,1,2,2,2,2,2,2,0,1,0,0,0,0
0,0,0,2,2,2,2,2,2,2,1,0,1,0,0,1
0,0,1,0,2,2,2,2,2,2,0,1,1,1,1,0
0,0,1,1,2,2,2,2,2,2,0,0,0,1,0,1
0,0,1,1,2,2,2,2,2,2,0,0,0,0,1,0
1,0,0,1,2,2,2,2,2,2,1,0,0,0,0,0
1,1,0,0,2,2,2,2,2,2,1,1,0,0,0,0
1,1,0,0,2,2,2,2,2,2,1,1,0,0,0,0
1,1,1,0,2,2,2,2,2,2,2,1,0,0,0,0
1,1,0,1,2,2,2,2,2,2,1,2,0,0,0,0
1,1,0,0,2,2,2,2,2,2,1,1,0,0,0,0
1,1,0,0,2,2,2,2,2,2,1,1,0,0,0,1
0,1,0,0,2,2,2,2,2,2,2,1,0,0,1,0
0,0,0,0,2,2,2,2,2,2,0,2,2,0,0,0
1,0,1,0,2,2,0,2,1,2,0,0,2,2,0,0
1,1,0,1,2,2,2,0,1,1,1,0,0,2,0,0
1,1,0,0,2,2,2,2,2,1,1,1,0,0,0,0
1,1,0,0,2,2,2,2,2,2,1,1,2,0,0,1
1,1,1,0,2,2,0,2,1,2,0,1,2,2,1,0
1,1,1,1,1,2,1,0,1,1,0,0,0,2,0,0
1,1,0,1,2,1,2,1,2,1,1,0,0,0,0,0
1,1,1,0,2,2,1,2,1,2,0,1,0,0,0,0
1,1,0,1,1,2,2,1,1,1,1,0,0,0,0,0
1,1,0,0,2,1,2,2,2,1,1,1,0,0,0,0
0,1,0,0,1,2,2,2,2,2,2,1,1,0,0,0
1,0,0,0,1,1,0,2,0,2,0,2,1,1,0,0
1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0
1,1,0,0,2,1,2,1,2,1,1,1,0,0,0,1
1,1,0,0,1,2,0,2,1,2,0,1,2,0,1,1
1,1,0,0,1,1,0,0,0,1,0,0,0,2,1,0
1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1
1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0
1,1,0,1,2,2,1,1,1,1,0,1,0,1,0,0
1,1,0,0,2,2,1,1,1,1,1,0,0,0,0,0
0,1,0,0,1,2,1,1,2,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,2,1,1,0,0,0,0
0,0,0,0,1,1,2,1,1,1,2,1,0,0,0,0
1,0,0,0,2,1,2,2,1,1,2,2,0,0,0,0
0,1,0,0,1,2,1,2,2,1,0,2,1,0,0,0
0,0,1,0,1,1,1,1,1,2,0,0,2,1,0,0
0,0,1,1,1,1,1,1,1,1,0,0,0,2,0,0
0,0,1,1,2,1,1,1,1,1,1,0,2,0,0,0
0,0,0,1,2,2,2,1,1,1,1,1,0,2,0,1
0,0,0,0,2,2,2,2,2,1,1,1,1,0,1,1
0,0,0,0,1,2,0,2,1,2,0,1,2,1,1,0
0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0
0,0,0,0,1,1,1,0,1,1,0,0,0,2,0,1
0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,2,1,1,1,2,1,0,1,0,0,1,0
0,0,2,0,1,2,1,1,1,2,0,0,0,0,0,0
1,0,2,2,1,1,1,1,1,1,1,0,0,0,0,0
0,1,1,2,1,1,1,1,2,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,1,2,1,1,0,0,0,0
1,0,2,1,2,1,2,1,1,1,1,1,0,0,0,0
0,1,2,2,1,2,1,2,1,1,1,1,0,0,0,0
0,0,1,2,1,1,2,1,1,1,1,1,0,0,0,0
0,0,2,1,2,1,2,2,1,1,2,1,0,0,0,1
0,0,1,2,1,2,1,2,1,1,1,2,1,0,1,0
0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,2,0,2,1,1,1,1,1,0,1,0,0,0,0
0,0,0,2,2,2,2,1,1,1,1,0,0,0,0,0
1,0,2,0,2,2,2,2,1,1,1,1,0,0,0,0
0,1,2,2,1,2,0,2,1,1,0,1,0,0,0,0
0,0,1,2,0,1,0,0,1,1,1,0,0,0,0,0
0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,0
0,0,2,1,0,0,1,1,0,0,2,2,0,0,0,0
0,0,1,2,0,0,1,1,0,0,2,2,0,0,0,0
0,0,2,1,1,0,1,1,1,0,1,2,0,0,0,0
0,0,1,2,1,1,1,1,1,1,2,1,0,0,0,0
0,0,1,1,0,1,0,1,0,1,1,2,0,0,0,0
0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
0,0,1,1,1,1,1,1,0,1,2,1,0,0,0,0
0,0,0,1,1,1,2,1,1,0,2,2,0,0,0,0
0,0,0,0,1,1,2,2,1,1,2,2,0,0,0,0
0,0,0,0,1,1,0,2,1,1,0,2,0,0,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,0,2,0,1,1,1,0,1,0,1,0,0,0,0,0
1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0
0,1,2,2,0,1,1,1,0,1,2,1,0,0,0,0
0,0,2,2,1,0,1,1,0,0,1,2,0,0,0,0
0,0,2,2,0,1,1,1,0,0,2,1,0,0,0,0
0,0,2,2,0,0,0,1,0,0,1,2,1,0,0,0
1,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0
1,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0
1,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0
1,1,1,2,0,0,0,0,0,0,2,2,0,0,0,0
1,1,1,1,0,0,1,0,0,0,2,2,0,0,0,0
1,1,1,1,0,0,0,1,0,0,2,2,0,0,0,1
0,1,0,1,0,0,1,0,0,0,2,2,0,0,1,0
0,0,0,0,1,0,2,1,0,0,2,2,0,0,0,1
0,0,0,0,1,1,0,2,1,0,1,2,0,0,1,0
0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0
0,0,0,0,1,0,1,2,0,0,1,2,0,0,0,1
0,0,0,0,0,1,1,1,0,0,2,1,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0
0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0
0,0,0,0,1,0,1,1,0,0,2,2,0,0,0,0
0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,2
0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2
0,0,1,1,2,2,2,2,2,2,0,0,0,1,0,1
1,1,0,0,2,1,2,1,2,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
2,2,2,1,0,0,0,0,0,0,2,2,1,0,0,1
2,2,1,1,0,0,0,0,0,0,2,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
2,2,1,1,0,0,0,0,0,0,2,2,0,0,0,1
1,1,2,2,1,1,1,0,2,1,1,0,1,1,0,1
2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,1
1,2,0,2,0,0,0,0,0,0,0,0,2,2,0,1
1,2,1,1,1,0,2,1,1,0,2,2,0,0,0,1
0,0,0,1,2,2,2,1,1,1,1,1,0,2,0,1
1,1,2,2,2,2,1,2,1,2,0,1,0,1,1,1
2,2,0,1,1,1,2,2,1,1,2,2,0,0,1,1
2,2,1,1,0,1,1,1,0,0,2,1,0,0,0,1
2,2,2,2,0,0,0,0,1,1,2,1,0,0,0,1
2,2,2,2,0,0,0,0,1,1,2,1,0,0,0,1
2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,1,2,0,0,1,2,0,0,0,1
1,2,0,1,0,0,1,0,0,0,2,1,0,0,0,1
1,1,2,2,1,2,0,2,1,2,0,2,2,0,0,1
1,1,2,2,1,1,1,0,2,1,1,0,1,1,0,1
2,2,0,1,1,1,2,2,1,1,2,2,0,0,1,1
1,1,0,0,2,2,2,2,2,2,1,1,2,0,0,1
2,2,2,2,0,0,0,0,1,1,2,1,0,0,0,1
2,2,1,1,1,1,2,1,1,1,2,1,0,0,0,1
1,1,2,2,2,2,2,2,2,2,2,1,0,0,0,1
2,2,2,2,0,0,1,0,1,1,2,2,0,0,1,1
2,2,1,2,1,0,0,1,0,0,0,2,0,0,0,1
2,1,1,0,0,0,0,1,0,0,1,2,0,0,0,1
2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,1
2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,2,2,2,2,2,1,1,1,1,0,1,1
2,1,1,1,0,0,1,0,0,0,2,0,0,1,0,1
0,0,0,0,2,2,2,2,2,1,1,1,1,0,1,1
2,2,2,2,0,0,1,0,0,0,2,1,0,0,1,1
2,2,1,2,1,2,0,2,1,1,0,2,0,0,0,1
1,1,0,0,2,1,2,1,2,1,1,1,0,0,0,1
2,2,2,1,0,0,0,0,0,0,2,2,1,0,0,1
2,2,2,1,1,1,2,0,1,1,2,1,0,0,0,1
1,1,2,2,2,2,2,1,2,2,1,0,1,0,1,1
2,2,2,2,0,0,0,0,1,1,2,1,0,0,0,1
1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1
0,0,0,0,2,2,2,2,2,1,1,1,1,0,1,1
2,2,1,1,0,1,0,0,1,1,1,0,0,1,0,1
1,2,0,2,0,0,0,0,0,0,0,0,2,2,0,1
1,2,0,2,0,0,0,0,0,0,0,0,2,2,0,1
1,2,0,0,0,1,2,0,0,1,2,1,1,0,0,1
1,1,2,2,1,1,1,0,2,1,1,0,1,1,0,1
1,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1
1,2,0,1,0,0,1,0,0,0,2,1,0,0,0,1
2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,1
0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1
1,1,2,2,1,1,1,0,1,0,1,0,0,2,0,1
2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,1,1,0,1,1,0,0,0,2,0,1
2,2,0,1,1,1,2,2,1,1,2,2,0,0,1,1
1,1,2,2,2,2,2,1,2,2,1,0,1,0,1,1
2,2,1,1,0,0,0,0,0,0,1,1,0,0,1,1
0,0,0,1,2,2,2,1,1,1,1,1,0,2,0,1
1,1,1,1,0,0,0,1,0,0,2,2,0,0,0,1
0,2,0,1,1,1,0,0,0,1,1,0,0,0,1,1
